neighborhood,property_type,bedrooms,bathrooms,size_sqft,age_years,distance_to_cbd_km,has_parking,has_garden,has_pool,gated_community,security_score,price_kes
South C,Maisonette,2,2,927,14,26.5,1,0,0,0,5,7711000.0
Kikuyu,Apartment,5,4,1224,2,14.2,1,0,0,0,5,6992000.0
Kahawa,Apartment,4,4,1317,14,27.9,1,0,0,1,1,6533000.0
Donholm,Apartment,3,3,1036,0,13.0,1,0,0,1,4,7729000.0
Muthaiga,Maisonette,4,3,1220,0,6.9,1,1,0,1,3,32464000.0
South C,Townhouse,2,2,1100,8,6.3,1,0,0,0,4,11847000.0
Runda,Villa,1,1,919,23,8.2,1,1,1,0,4,24071000.0
Kahawa,Apartment,6,5,2071,18,33.0,1,0,0,1,3,8586000.0
Loresho,Bungalow,4,4,1351,28,7.2,1,1,0,0,5,21899000.0
Muthaiga,Apartment,3,3,1162,10,6.8,1,0,0,0,3,29337000.0
Roysambu,Bungalow,2,2,1121,16,19.4,1,1,0,0,3,7557000.0
Runda,Maisonette,3,2,1313,22,0.5,1,1,0,1,2,36065000.0
Roysambu,Townhouse,3,2,1189,1,16.2,1,0,0,1,4,9248000.0
Umoja,Apartment,4,3,1405,23,24.0,1,0,0,0,4,7133000.0
Thika Road,Apartment,4,4,1194,29,15.6,1,0,0,1,1,7624000.0
Kasarani,Apartment,6,5,1709,5,27.8,0,0,0,1,4,8500000.0
Ruaka,Villa,1,1,636,16,12.4,1,0,0,1,2,5434000.0
Kahawa,Apartment,2,2,849,9,33.7,1,0,0,0,1,3732000.0
Loresho,Bungalow,3,2,1676,5,8.0,1,1,0,1,5,31345000.0
Muthaiga,Apartment,2,2,973,25,7.2,1,0,0,1,4,19825000.0
Thika Road,Apartment,3,2,1141,25,13.9,1,0,0,1,4,8360000.0
Kasarani,Apartment,3,3,930,8,22.9,0,0,0,0,5,5525000.0
Kitisuru,Apartment,4,3,1224,4,13.3,0,0,0,1,5,28206000.0
Kikuyu,Apartment,4,4,1233,29,22.6,1,0,0,0,3,5518000.0
Athi River,Apartment,3,3,1159,26,30.1,1,0,0,1,3,4214000.0
Ruaka,Apartment,3,2,1317,25,21.1,1,0,0,0,4,9257000.0
Rongai,Apartment,1,1,542,18,18.1,1,0,0,1,1,2621000.0
Kahawa,Apartment,2,2,869,17,21.2,1,0,0,1,5,4517000.0
Upperhill,Bungalow,1,1,589,4,15.5,1,0,0,0,2,8308000.0
Roysambu,Villa,5,4,1929,25,25.6,1,0,0,0,2,10262000.0
Nyayo Estate,Apartment,3,3,963,26,11.4,0,0,0,0,1,8421000.0
Kahawa,Townhouse,1,1,721,3,28.3,0,0,0,0,2,2715000.0
Lavington,Apartment,3,3,923,2,0.5,1,0,0,1,1,22534000.0
Kileleshwa,Maisonette,1,1,514,15,15.5,1,0,0,1,3,7713000.0
Loresho,Townhouse,2,2,814,16,7.1,1,0,0,1,3,12049000.0
Kilimani,Maisonette,4,4,1533,11,11.2,1,1,0,0,5,29665000.0
Thika Road,Townhouse,3,3,1204,8,18.7,1,0,0,0,5,7939000.0
South B,Townhouse,4,3,1634,22,16.9,1,0,0,0,5,13921000.0
Athi River,Bungalow,4,4,2017,6,24.6,1,1,0,0,5,8872000.0
Embakasi,Bungalow,3,2,1258,9,19.0,1,1,0,1,3,9027000.0
Thika Road,Maisonette,3,3,902,22,21.4,1,1,0,1,3,5797000.0
Upperhill,Maisonette,3,3,1450,27,12.4,1,1,0,0,1,23891000.0
Athi River,Bungalow,3,3,1433,9,27.3,0,0,0,0,3,5019000.0
Ngong Road,Maisonette,2,2,799,6,12.5,1,1,0,1,3,10288000.0
Westlands,Apartment,2,1,937,4,11.3,1,0,0,1,4,17343000.0
Westlands,Apartment,2,2,707,18,0.5,1,0,1,1,2,15377000.0
Muthaiga,Apartment,3,2,1137,25,2.0,1,0,0,0,3,23920000.0
Ruaka,Apartment,4,3,1261,26,7.0,1,0,0,0,3,10344000.0
Athi River,Apartment,3,3,888,13,30.6,0,0,0,1,5,4145000.0
Loresho,Maisonette,4,4,1380,28,11.2,1,1,0,0,3,19961000.0
Kasarani,Apartment,2,2,627,11,26.1,1,0,0,1,5,3982000.0
Kikuyu,Apartment,2,2,811,4,22.9,0,0,0,1,2,4434000.0
Kileleshwa,Maisonette,5,4,1621,0,2.1,1,1,0,0,2,29351000.0
Kikuyu,Apartment,4,4,1477,28,24.0,1,0,0,1,3,7690000.0
Lavington,Apartment,3,3,1252,2,12.8,1,0,0,0,2,23577000.0
Spring Valley,Apartment,3,2,1243,6,14.3,0,0,0,1,5,19823000.0
Kahawa,Apartment,5,4,1684,0,33.7,1,0,0,1,4,9151000.0
Westlands,Maisonette,4,3,1444,16,9.4,1,1,0,0,4,26574000.0
Ruaka,Apartment,6,5,1967,19,29.7,1,0,0,1,3,13885000.0
Loresho,Villa,3,3,1345,17,4.4,0,1,0,0,5,18766000.0
Umoja,Bungalow,5,5,1958,16,19.6,1,1,0,1,3,12301000.0
Kasarani,Apartment,4,3,1076,14,12.9,1,0,0,1,2,6390000.0
Kikuyu,Bungalow,2,1,1317,19,15.8,1,1,0,1,4,6614000.0
Thika Road,Apartment,1,1,669,19,18.8,1,0,0,1,1,3893000.0
Kasarani,Apartment,2,1,906,5,13.3,1,0,0,1,2,5222000.0
Ruiru,Townhouse,3,2,897,12,22.3,1,0,0,1,5,4611000.0
Thika Road,Apartment,2,2,908,11,13.7,1,0,0,1,4,6426000.0
Ngong Road,Apartment,5,5,1689,17,6.4,1,0,0,1,2,24271000.0
Muthaiga,Apartment,2,2,918,27,4.0,1,0,1,1,1,19794000.0
Kikuyu,Bungalow,3,2,1685,0,15.1,1,1,0,0,3,9418000.0
Kileleshwa,Apartment,3,2,1044,9,14.6,1,0,0,1,5,17837000.0
Ruiru,Maisonette,3,3,1208,1,36.3,1,1,0,1,1,6309000.0
South B,Apartment,4,3,1532,24,8.1,1,0,0,1,3,14819000.0
Kileleshwa,Maisonette,3,2,1161,1,0.5,0,0,0,1,4,19934000.0
Nyayo Estate,Apartment,3,3,946,19,13.0,1,0,0,1,4,10042000.0
Lavington,Apartment,4,3,1083,5,3.9,1,0,0,1,5,22918000.0
Roysambu,Apartment,4,3,1475,12,20.1,1,0,0,1,3,8555000.0
Kikuyu,Apartment,3,2,948,13,21.5,1,0,0,0,2,4417000.0
Ruaka,Townhouse,3,3,1367,20,14.4,0,0,0,0,1,9809000.0
Westlands,Townhouse,2,2,910,17,5.3,0,0,0,1,4,16074000.0
Kileleshwa,Maisonette,3,2,985,7,10.6,1,0,0,0,4,14338000.0
Karen,Apartment,1,1,532,6,0.5,0,0,1,0,2,11178000.0
Kahawa,Apartment,2,2,657,11,28.3,1,0,0,0,5,3306000.0
Donholm,Apartment,2,2,795,9,16.5,1,0,0,1,5,6083000.0
South C,Apartment,3,3,956,13,8.7,1,0,0,0,2,9288000.0
Kileleshwa,Maisonette,4,3,1372,27,10.8,1,0,0,1,5,20222000.0
Kilimani,Villa,2,2,1106,9,0.5,0,0,0,1,4,20938000.0
Dagoretti,Maisonette,6,6,2269,22,6.9,1,0,0,0,3,18080000.0
Embakasi,Townhouse,3,2,1171,8,18.9,0,0,0,0,2,6132000.0
Kileleshwa,Maisonette,2,1,1114,11,11.6,1,0,0,1,1,17091000.0
Ngong Road,Townhouse,4,4,1221,10,4.7,0,0,0,1,2,13762000.0
Dagoretti,Maisonette,1,1,754,3,12.4,1,1,0,1,5,7226000.0
South C,Apartment,3,3,1144,28,15.6,1,0,0,1,2,9467000.0
Spring Valley,Townhouse,2,2,826,26,10.0,1,0,0,1,5,14657000.0
Embakasi,Townhouse,1,1,762,28,12.3,1,0,0,0,4,4753000.0
Kitisuru,Townhouse,3,3,1346,23,2.0,1,0,0,0,4,30235000.0
Umoja,Apartment,3,2,1153,28,31.7,0,0,0,1,5,5985000.0
Donholm,Apartment,3,3,1205,5,19.9,1,0,0,0,4,10052000.0
Karen,Apartment,1,1,522,0,0.5,1,0,1,0,4,15140000.0
Roysambu,Apartment,4,4,1224,15,24.6,1,0,0,0,2,7532000.0
Kahawa,Apartment,4,4,1013,16,29.7,1,0,0,0,5,5139000.0
Kikuyu,Apartment,3,2,1568,27,14.0,1,0,0,1,2,7338000.0
Kikuyu,Apartment,3,2,1017,17,23.7,1,0,0,1,5,5473000.0
Rongai,Maisonette,3,3,895,12,20.2,1,0,0,1,1,4847000.0
Kikuyu,Townhouse,4,3,1808,11,27.0,1,0,0,0,5,9955000.0
Umoja,Bungalow,3,2,1713,27,23.2,1,1,0,1,2,9077000.0
Kileleshwa,Apartment,4,4,1152,26,8.8,1,0,0,1,3,19152000.0
Kilimani,Bungalow,2,2,1191,4,6.1,1,0,0,1,3,21743000.0
Rongai,Townhouse,6,5,1896,11,18.4,1,0,0,1,1,9878000.0
Westlands,Villa,3,2,1519,16,7.8,1,1,0,0,4,30703000.0
Umoja,Maisonette,2,1,998,9,30.1,1,0,0,1,5,5652000.0
Runda,Apartment,3,3,1069,12,0.5,1,0,0,0,1,23615000.0
Loresho,Apartment,5,5,1974,16,7.5,1,0,0,0,5,30680000.0
Rongai,Apartment,1,1,514,18,18.0,1,0,0,0,3,2282000.0
Kikuyu,Apartment,3,3,835,23,26.7,1,0,0,1,3,4621000.0
Donholm,Apartment,3,2,1133,4,24.4,1,0,0,1,3,8933000.0
Westlands,Apartment,5,4,1978,12,10.2,1,0,0,1,3,42231000.0
Kasarani,Apartment,3,3,984,2,19.7,0,0,0,1,3,5614000.0
Westlands,Townhouse,2,2,1097,11,13.7,1,0,0,1,2,17068000.0
Buruburu,Apartment,2,2,777,22,22.5,1,0,0,0,3,4730000.0
Ruiru,Maisonette,2,2,1084,14,15.6,0,1,0,1,5,5404000.0
Lavington,Apartment,2,2,1075,22,8.2,0,0,1,1,1,21287000.0
Embakasi,Maisonette,5,4,1719,28,25.9,1,0,0,1,2,9551000.0
Karen,Townhouse,5,4,1813,15,7.3,0,0,0,1,5,43217000.0
Lavington,Apartment,4,4,1563,21,4.6,1,0,0,1,1,26853000.0
Spring Valley,Townhouse,1,1,767,26,0.8,1,0,0,1,5,12599000.0
Donholm,Villa,4,4,1758,5,20.6,1,1,0,1,1,14208000.0
Lavington,Apartment,3,2,1008,3,0.5,1,0,1,1,3,25273000.0
Ruaka,Apartment,3,3,1135,7,13.8,0,0,0,1,4,10397000.0
Ruiru,Apartment,4,3,1578,5,25.4,1,0,0,0,4,9706000.0
Langata,Apartment,3,3,1158,6,15.6,1,0,0,1,4,12606000.0
Donholm,Apartment,6,5,1689,6,18.3,1,0,0,0,2,11501000.0
Dagoretti,Villa,2,1,1102,21,20.6,1,0,0,1,3,7499000.0
Spring Valley,Apartment,4,4,1266,3,4.3,0,0,0,0,1,24478000.0
South C,Townhouse,2,2,868,12,5.4,1,0,0,0,4,9710000.0
Ruiru,Townhouse,3,3,1251,10,24.1,1,0,0,0,1,5845000.0
Roysambu,Apartment,1,1,432,13,26.3,0,0,0,1,5,2529000.0
Nyayo Estate,Townhouse,3,3,1260,7,11.3,1,0,0,0,3,11409000.0
Spring Valley,Apartment,4,3,1282,17,6.7,1,0,1,1,4,30446000.0
Lavington,Apartment,2,2,906,22,8.6,1,0,0,1,3,16333000.0
Thika Road,Apartment,2,1,735,12,16.6,0,0,0,0,4,4683000.0
Embakasi,Apartment,3,3,937,27,22.6,1,0,0,1,2,5095000.0
Kileleshwa,Apartment,4,4,1166,11,11.5,0,0,0,0,1,16805000.0
Westlands,Townhouse,1,1,589,16,3.5,1,0,0,1,2,8251000.0
Spring Valley,Apartment,6,5,2011,21,6.8,1,0,0,1,1,33629000.0
Runda,Apartment,5,5,1511,18,11.1,1,0,0,1,3,40030000.0
Dagoretti,Apartment,2,2,734,21,22.2,0,0,0,1,3,5114000.0
Umoja,Apartment,5,5,1258,9,25.7,1,0,0,1,4,7720000.0
Ruaka,Townhouse,4,4,1367,25,15.0,1,0,0,1,3,11890000.0
Ngong Road,Apartment,1,1,673,16,6.9,1,0,0,0,5,6409000.0
Upperhill,Apartment,5,4,1340,23,0.5,1,0,0,1,2,23621000.0
Donholm,Bungalow,2,1,1390,21,18.2,0,1,0,1,2,9104000.0
South C,Apartment,5,5,1567,0,15.4,1,0,0,0,4,17675000.0
Ruaka,Apartment,3,2,1252,18,4.8,1,0,0,1,3,11396000.0
Runda,Townhouse,2,2,1028,2,6.3,1,0,1,0,2,29865000.0
Runda,Apartment,2,1,839,6,12.8,1,0,0,1,4,19898000.0
Ruaka,Villa,2,1,1013,6,20.5,1,0,0,0,1,8037000.0
Rongai,Apartment,4,4,1464,28,16.6,1,0,0,1,3,7296000.0
Ruaka,Apartment,2,2,775,26,4.7,1,0,0,0,1,5866000.0
Langata,Maisonette,3,3,1012,2,6.2,0,0,0,0,3,12787000.0
Ruaka,Apartment,5,5,1496,18,21.9,1,0,0,0,4,11920000.0
Rongai,Maisonette,2,2,909,9,21.2,1,0,0,0,1,4494000.0
South C,Apartment,1,1,504,6,15.7,1,0,0,1,2,4626000.0
Embakasi,Bungalow,2,1,1052,5,22.7,0,1,0,0,4,6862000.0
Kasarani,Townhouse,3,3,1103,2,15.8,1,0,0,1,5,7897000.0
Loresho,Villa,2,2,1406,3,8.6,1,0,0,0,1,20955000.0
Loresho,Apartment,4,3,1058,14,7.6,1,0,0,1,4,16916000.0
Kilimani,Apartment,4,4,1264,18,1.7,1,0,0,0,4,24025000.0
Donholm,Maisonette,1,1,495,24,25.4,0,0,0,1,1,2892000.0
Athi River,Apartment,3,3,1088,5,18.6,1,0,0,1,5,5816000.0
Langata,Maisonette,6,6,1987,24,18.6,1,1,0,1,3,22392000.0
Athi River,Apartment,4,4,1481,2,35.4,1,0,0,0,5,6894000.0
Embakasi,Villa,6,5,2969,25,27.7,1,1,0,1,1,16922000.0
Lavington,Villa,2,2,1088,21,9.0,0,1,1,1,2,20685000.0
Karen,Maisonette,1,1,663,24,16.9,1,0,0,1,5,13818000.0
Langata,Apartment,2,2,613,8,5.3,1,0,0,1,1,6351000.0
Kilimani,Maisonette,2,2,1073,17,11.0,0,0,0,1,3,19039000.0
Karen,Bungalow,3,2,1600,15,6.1,0,1,1,1,5,44790000.0
Roysambu,Apartment,4,3,1475,27,20.8,1,0,0,1,4,9511000.0
Ruaka,Villa,2,1,1178,29,18.7,0,0,0,1,3,7570000.0
Langata,Apartment,2,2,807,17,13.6,0,0,0,1,1,6943000.0
Thika Road,Apartment,3,2,1240,3,22.3,1,0,0,0,2,7854000.0
South C,Apartment,4,3,1128,11,6.7,1,0,0,0,2,11893000.0
Buruburu,Apartment,3,2,725,9,18.9,0,0,0,0,2,5317000.0
Loresho,Apartment,3,3,1173,5,15.5,1,0,0,0,5,16581000.0
Umoja,Apartment,6,5,1803,19,18.0,1,0,0,1,3,11522000.0
Buruburu,Apartment,5,4,1184,2,10.7,0,0,0,1,1,8790000.0
Muthaiga,Apartment,3,2,856,22,3.1,1,0,0,1,3,21689000.0
Loresho,Villa,2,2,1125,24,10.5,1,0,0,1,3,16232000.0
Rongai,Apartment,2,2,727,7,18.6,1,0,0,1,2,4496000.0
Kikuyu,Apartment,3,2,808,1,24.6,1,0,0,1,1,4582000.0
Roysambu,Townhouse,1,1,594,25,16.2,1,0,0,1,5,4054000.0
Lavington,Apartment,2,2,808,29,7.6,1,0,0,0,5,15624000.0
Umoja,Apartment,2,1,957,1,25.5,1,0,0,1,5,6088000.0
Langata,Apartment,2,2,961,1,8.2,1,0,0,1,1,11388000.0
Buruburu,Townhouse,3,3,1459,17,20.6,0,0,0,0,4,9763000.0
Ruiru,Maisonette,3,3,802,16,19.6,1,1,0,1,1,3648000.0
Dagoretti,Bungalow,2,2,794,0,16.5,1,1,0,0,3,6011000.0
Donholm,Apartment,3,3,1182,7,23.0,0,0,0,1,2,8998000.0
Langata,Apartment,3,3,1042,22,10.8,1,0,0,0,4,11827000.0
Langata,Townhouse,3,3,1266,21,8.4,1,0,0,1,1,13261000.0
Roysambu,Apartment,5,5,1548,7,18.5,1,0,0,0,3,12298000.0
South B,Apartment,3,3,1228,16,4.6,1,0,0,1,2,11043000.0
Kasarani,Apartment,3,3,1092,6,27.1,1,0,0,1,2,6050000.0
South B,Apartment,5,5,2044,2,12.6,1,0,0,0,4,20564000.0
Umoja,Maisonette,2,1,1040,18,25.4,1,1,0,1,4,5716000.0
Roysambu,Apartment,4,4,1547,23,22.8,1,0,0,1,2,6823000.0
Dagoretti,Maisonette,4,3,1566,17,6.2,1,0,0,0,5,14836000.0
Ruiru,Townhouse,3,3,1261,20,29.3,1,0,0,1,5,5671000.0
South B,Maisonette,2,1,958,28,5.0,1,0,0,1,1,8574000.0
Runda,Apartment,5,5,1540,22,6.6,1,0,0,1,4,36967000.0
Muthaiga,Villa,5,5,2556,26,3.1,1,1,0,1,2,58726000.0
Ruaka,Apartment,3,3,1088,14,23.1,1,0,0,1,5,8956000.0
Westlands,Apartment,3,3,1034,12,7.6,1,0,0,1,4,17354000.0
Westlands,Maisonette,5,4,1790,2,4.2,1,0,0,0,5,34655000.0
Thika Road,Apartment,2,1,765,7,12.6,1,0,0,1,4,6101000.0
Langata,Villa,1,1,747,6,13.9,1,1,0,1,2,7448000.0
Kasarani,Apartment,4,4,963,29,16.4,1,0,0,1,1,5197000.0
Donholm,Apartment,3,2,949,13,33.7,1,0,0,0,1,5084000.0
Buruburu,Apartment,3,2,978,6,18.9,1,0,0,1,3,8317000.0
Langata,Apartment,4,4,1236,0,5.0,0,0,0,1,3,16052000.0
Langata,Apartment,2,1,722,10,21.1,1,0,0,0,5,8801000.0
Kileleshwa,Villa,4,4,2002,24,8.5,1,0,0,0,3,33842000.0
Ruiru,Townhouse,3,2,1092,7,25.4,0,0,0,1,4,4941000.0
South C,Bungalow,1,1,715,26,4.3,1,1,0,0,5,7036000.0
Roysambu,Bungalow,4,4,2013,15,17.1,1,1,0,1,3,10696000.0
Kilimani,Maisonette,5,4,1764,5,4.1,1,1,1,1,3,42412000.0
South C,Maisonette,2,2,817,5,10.8,0,1,0,1,5,8756000.0
Nyayo Estate,Apartment,2,2,689,13,19.2,1,0,0,0,3,6012000.0
Kikuyu,Apartment,2,2,547,18,22.1,1,0,0,0,3,2666000.0
Rongai,Apartment,5,4,1399,25,23.6,1,0,0,0,2,7591000.0
Runda,Townhouse,2,2,792,27,11.0,1,0,0,1,5,16799000.0
Ngong Road,Maisonette,2,1,1039,14,11.1,1,1,0,1,2,13814000.0
Buruburu,Apartment,3,2,759,17,9.1,1,0,0,1,3,6260000.0
Nyayo Estate,Apartment,2,1,917,20,10.4,1,0,0,1,4,8286000.0
Upperhill,Apartment,2,2,959,20,1.5,1,0,0,0,4,14145000.0
Ruiru,Bungalow,3,3,1467,1,25.3,1,0,0,0,5,7272000.0
Loresho,Bungalow,4,4,1879,1,12.4,1,1,0,0,4,31000000.0
Karen,Apartment,5,5,1535,19,0.5,0,0,1,1,4,41632000.0
Kasarani,Townhouse,3,3,1290,25,16.5,1,0,0,0,2,6486000.0
Umoja,Apartment,2,1,868,13,25.1,1,0,0,1,5,5058000.0
Upperhill,Maisonette,3,3,1149,25,7.9,1,1,1,1,4,25683000.0
Nyayo Estate,Apartment,2,2,965,27,15.8,1,0,0,1,3,8277000.0
Karen,Apartment,3,3,775,21,7.0,1,0,1,1,5,17263000.0
Spring Valley,Maisonette,3,3,965,19,8.0,1,1,1,1,1,17241000.0
Ruaka,Apartment,4,4,1071,21,19.0,1,0,0,0,1,7422000.0
Roysambu,Apartment,4,4,1201,19,21.8,1,0,0,0,5,7615000.0
Kilimani,Apartment,5,5,1258,12,5.1,1,0,0,1,2,21670000.0
Embakasi,Maisonette,4,3,1371,27,17.0,0,0,0,0,1,7206000.0
Kilimani,Apartment,2,1,965,15,3.4,0,0,0,0,2,15543000.0
Karen,Apartment,6,6,1519,23,0.5,1,0,0,1,1,31168000.0
Embakasi,Maisonette,4,3,1203,23,17.2,1,0,0,0,3,6379000.0
Kileleshwa,Apartment,3,3,1187,27,7.6,0,0,0,1,2,18139000.0
Spring Valley,Bungalow,2,1,1033,13,7.1,0,1,0,0,3,19332000.0
Lavington,Apartment,3,3,862,24,14.6,0,0,1,0,5,15906000.0
Embakasi,Apartment,3,3,1040,8,10.2,1,0,0,1,2,6296000.0
Ruiru,Bungalow,2,1,1246,28,32.3,1,0,0,1,4,4744000.0
Langata,Bungalow,3,3,1635,14,11.7,1,0,0,0,4,18414000.0
Roysambu,Townhouse,4,4,1059,21,13.6,1,0,0,1,2,7164000.0
Runda,Apartment,3,3,1155,24,10.7,0,0,1,1,5,32867000.0
Loresho,Townhouse,5,4,1811,19,8.3,1,0,0,1,5,27016000.0
Dagoretti,Apartment,2,1,812,13,25.0,1,0,0,1,5,7152000.0
Kitisuru,Maisonette,3,2,1276,16,7.7,1,1,0,0,2,25144000.0
Thika Road,Bungalow,6,5,2866,2,23.1,1,1,0,0,4,20415000.0
Muthaiga,Apartment,3,3,942,11,9.1,1,0,0,0,5,24902000.0
Dagoretti,Bungalow,4,4,1316,9,17.3,1,0,0,0,1,11152000.0
Kitisuru,Townhouse,3,3,1224,7,4.7,1,0,0,0,3,24774000.0
South B,Apartment,1,1,522,1,24.4,1,0,0,0,4,3716000.0
Umoja,Maisonette,3,3,1088,18,24.9,1,1,0,0,4,5143000.0
Embakasi,Apartment,1,1,459,17,25.4,1,0,0,1,3,2719000.0
Athi River,Apartment,1,1,515,0,35.4,1,0,0,1,2,2045000.0
South C,Apartment,3,3,1111,22,7.4,1,0,0,0,1,10794000.0
Rongai,Maisonette,5,5,1970,13,30.3,1,1,0,1,4,12253000.0
Ruiru,Townhouse,2,1,938,14,22.7,1,0,0,1,3,4064000.0
Westlands,Townhouse,5,5,1977,18,5.9,1,0,0,1,3,35555000.0
Umoja,Apartment,3,2,1153,9,22.4,0,0,0,1,4,6604000.0
Ruaka,Apartment,4,4,1503,0,23.0,1,0,0,1,4,13119000.0
Roysambu,Apartment,6,5,1674,8,17.0,1,0,0,1,4,13871000.0
Kileleshwa,Bungalow,4,4,1822,4,13.8,1,0,0,1,1,25410000.0
Buruburu,Maisonette,4,4,1496,26,6.2,1,0,0,1,2,11109000.0
Roysambu,Apartment,3,2,1046,12,13.4,1,0,0,1,4,6464000.0
Ruaka,Maisonette,3,3,1265,8,15.7,1,1,0,0,3,11082000.0
Lavington,Bungalow,6,6,2734,19,6.2,1,0,0,1,4,54233000.0
Spring Valley,Maisonette,3,3,971,23,5.7,1,1,1,1,4,20139000.0
Ruaka,Townhouse,1,1,671,5,18.7,1,0,0,1,2,5767000.0
Rongai,Bungalow,5,4,1874,25,10.8,1,1,0,1,2,10158000.0
Loresho,Apartment,4,3,1392,20,11.3,1,0,0,0,5,18451000.0
Upperhill,Bungalow,1,1,804,13,4.2,1,1,0,1,1,13582000.0
Thika Road,Maisonette,4,3,1147,9,29.0,1,0,0,0,1,7389000.0
Nyayo Estate,Apartment,2,1,578,23,19.4,1,0,0,0,2,4776000.0
Thika Road,Maisonette,2,2,724,7,16.8,1,0,0,1,2,4705000.0
Roysambu,Townhouse,4,3,1116,28,16.7,0,0,0,1,5,7358000.0
South C,Apartment,3,2,988,7,12.2,1,0,0,0,4,10095000.0
Kileleshwa,Apartment,2,1,626,0,4.2,0,0,0,1,3,10605000.0
Upperhill,Apartment,3,3,992,29,7.5,1,0,0,1,3,15374000.0
Ruaka,Apartment,2,1,1033,20,17.1,1,0,0,0,5,7933000.0
Athi River,Apartment,1,1,545,18,21.7,1,0,0,1,3,2698000.0
South C,Apartment,5,5,1344,22,13.8,1,0,0,1,3,14254000.0
Dagoretti,Apartment,2,1,868,5,9.5,0,0,0,1,2,7501000.0
Nyayo Estate,Townhouse,2,1,701,17,12.9,0,0,0,0,1,5375000.0
Kikuyu,Apartment,3,3,1214,1,27.4,1,0,0,0,1,6742000.0
Kileleshwa,Villa,3,2,1288,7,13.6,1,1,0,1,1,19227000.0
Ruiru,Villa,3,3,1571,28,29.6,0,1,0,0,3,7017000.0
Karen,Apartment,5,4,1631,7,0.5,0,0,0,1,2,40252000.0
Embakasi,Maisonette,2,1,1072,2,25.9,1,1,0,0,4,6583000.0
Nyayo Estate,Townhouse,4,4,1588,22,21.1,1,0,0,0,3,11620000.0
Nyayo Estate,Apartment,3,3,964,16,17.3,1,0,0,1,1,8032000.0
Langata,Bungalow,3,3,1413,16,4.8,1,0,0,1,1,15126000.0
Kitisuru,Apartment,6,6,1820,20,8.4,1,0,1,0,2,38035000.0
Muthaiga,Apartment,3,2,1060,8,7.7,1,0,1,1,5,32478000.0
Loresho,Apartment,2,2,815,23,11.5,0,0,0,1,1,11315000.0
Upperhill,Townhouse,2,2,803,26,12.1,1,0,1,1,1,14491000.0
Kahawa,Apartment,2,1,920,22,29.2,1,0,0,0,5,3959000.0
Ruiru,Apartment,2,1,922,2,35.3,1,0,0,1,3,4698000.0
Spring Valley,Townhouse,1,1,594,7,0.7,1,0,0,1,1,12677000.0
Roysambu,Townhouse,2,2,953,20,17.9,0,0,0,1,3,5461000.0
South C,Villa,4,4,1996,16,5.1,1,1,0,0,3,23008000.0
Runda,Apartment,3,2,1185,22,5.2,1,0,1,0,1,26666000.0
Karen,Apartment,3,2,1082,16,7.5,1,0,0,1,1,25006000.0
Thika Road,Apartment,2,2,950,18,20.2,1,0,0,0,3,5237000.0
Ngong Road,Villa,3,2,1411,15,19.2,0,1,0,1,1,14976000.0
Donholm,Villa,1,1,755,21,12.8,1,1,0,1,2,4869000.0
Thika Road,Apartment,3,3,1053,15,19.7,1,0,0,1,4,7687000.0
Langata,Bungalow,3,3,1459,14,1.0,1,0,0,0,4,16646000.0
Karen,Apartment,2,1,723,25,14.7,1,0,0,1,2,14435000.0
Athi River,Villa,3,3,1817,25,7.0,1,1,0,1,4,9478000.0
Ruiru,Bungalow,3,2,1400,7,31.8,1,0,0,0,5,6416000.0
Embakasi,Apartment,2,2,896,8,21.6,1,0,0,0,3,5416000.0
Dagoretti,Villa,1,1,817,21,16.6,1,0,0,0,5,5443000.0
Spring Valley,Bungalow,3,3,1649,9,6.5,0,0,0,0,5,34587000.0
South C,Maisonette,2,1,1103,7,21.4,1,0,0,1,4,10367000.0
Athi River,Apartment,4,4,1176,1,28.0,1,0,0,1,5,5121000.0
South B,Apartment,5,4,1357,13,10.5,1,0,0,1,3,14715000.0
Muthaiga,Apartment,2,2,854,17,4.6,1,0,0,0,3,16929000.0
Runda,Maisonette,2,1,935,20,5.1,0,1,0,1,1,22713000.0
Lavington,Townhouse,4,3,1285,18,0.8,1,0,1,0,4,28034000.0
Spring Valley,Apartment,2,1,816,27,3.7,1,0,0,0,4,13647000.0
Langata,Townhouse,3,3,1031,20,13.4,1,0,0,0,2,10960000.0
Roysambu,Townhouse,3,3,1330,20,20.0,1,0,0,0,4,8976000.0
Ruaka,Bungalow,5,4,2387,24,13.2,1,0,0,0,3,16014000.0
Roysambu,Maisonette,2,2,1021,17,26.4,1,1,0,1,2,6145000.0
Loresho,Apartment,1,1,596,24,13.4,1,0,0,0,4,8538000.0
Spring Valley,Apartment,2,1,827,9,5.3,1,0,0,1,4,14781000.0
South B,Townhouse,4,3,1105,11,23.0,1,0,0,1,4,11134000.0
Nyayo Estate,Apartment,3,2,1057,16,11.3,1,0,0,1,4,9227000.0
Westlands,Apartment,4,4,1234,7,5.5,1,0,0,0,4,21344000.0
Roysambu,Townhouse,3,2,1216,20,17.2,1,0,0,0,2,7337000.0
Dagoretti,Maisonette,4,3,1264,6,16.2,1,1,0,0,2,11086000.0
Nyayo Estate,Apartment,2,1,847,14,10.8,1,0,0,0,5,8411000.0
Thika Road,Maisonette,4,4,1778,29,20.3,1,1,0,0,5,11123000.0
Ruiru,Apartment,1,1,570,29,23.1,1,0,0,1,4,2823000.0
